Month;AFRE(flow)
2014.01;26004
2014.02;9370
2014.03;20934
2014.04;15259
2014.05;14013
2014.06;19673
2014.07;2737
2014.08;9577
2014.09;11355
2014.10;6807
2014.11;11459
2014.12;16945
2015.01;20516
2015.02;13609
2015.03;12433
2015.04;10582
2015.05;12397
2015.06;18384
2015.07;7511
2015.08;11097
2015.09;13571
2015.10;5593
2015.11;10255
2015.12;18114
2016.01;34758
2016.02;8312
2016.03;23931
2016.04;7809
2016.05;6770
2016.06;16479
2016.07;4791
2016.08;14605
2016.09;17115
2016.10;8865
2016.11;18328
2016.12;16397
2017.01;36970
2017.02;10908
2017.03;21186
2017.04;13880
2017.05;10631
2017.06;17718
2017.07;11956
2017.08;14895
2017.09;18335
2017.10;10357
2017.11;16128
2017.12;11481
2018.01;30793
2018.02;11894
2018.03;15848
2018.04;17761
2018.05;9518
2018.06;14877
2018.07;12254
2018.08;19391
2018.09;21691
2018.10;7420
2018.11;15239
2018.12;15898
2019.01;46791
2019.02;9665
2019.03;29602
2019.04;16710
2019.05;17124
2019.06;26243
2019.07;12872
2019.08;21956
2019.09;25142
2019.10;8680
2019.11;19937
2019.12;22013
2020.01;50535
2020.02;8737
2020.03;51838
2020.04;31027
2020.05;31866
2020.06;34681
2020.07;16928
2020.08;35853
2020.09;34693
2020.10;13929
2020.11;21355
2020.12;16476
2021.01;51884
2021.02;17243
2021.03;33762
2021.04;18570
2021.05;19522
2021.06;37017
2021.07;10752
2021.08;29893
2021.09;29026
2021.10;16176
2021.11;25983
2021.12;23580
2022.01;61759
2022.02;12170
2022.03;46565
2022.04;9327
2022.05;28415
2022.06;51926
2022.07;7785
2022.08;24712
2022.09;35411
2022.10;9134
2022.11;19837
2022.12;13058
2023.01;59956
2023.02;31610
2023.03;53867
2023.04;12249
2023.05;15550
2023.06;42262
2023.07;5366
2023.08;31279
2023.09;41326
2023.10;18441
2023.11;24547